numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
15	0.70	800	gdi	0.9155	0.8259	837.2000	4800	18.2813
20	0.70	800	gdi	0.9142	0.8278	828.5500	4800	24.8906
1	0.70	800	twoing	0.9196	0.8286	824.0000	4800	1.2656
5	0.70	800	twoing	0.9144	0.8297	819.4000	4800	5.7500
10	0.70	800	twoing	0.9168	0.8284	823.1000	4800	12.5156
15	0.70	800	twoing	0.9168	0.8272	831.0000	4800	18.7656
20	0.70	800	twoing	0.9161	0.8290	822.4000	4800	24.5156
1	0.70	800	deviance	0.9298	0.8403	768.0000	4800	1.1250
5	0.70	800	deviance	0.9232	0.8376	779.4000	4800	6.1094
10	0.70	800	deviance	0.9269	0.8371	784.4000	4800	12.2969
15	0.70	800	deviance	0.9260	0.8395	771.6000	4800	18.3438
20	0.70	800	deviance	0.9255	0.8363	786.5000	4800	23.9375
1	0.70	1600	gdi	0.9257	0.8317	804.0000	4800	1.3906
5	0.70	1600	gdi	0.9283	0.8333	804.6000	4800	5.9531
10	0.70	1600	gdi	0.9291	0.8342	795.6000	4800	12.1250
15	0.70	1600	gdi	0.9284	0.8348	791.7333	4800	18.5000
20	0.70	1600	gdi	0.9284	0.8329	804.3000	4800	23.7344
1	0.70	1600	twoing	0.9258	0.8312	807.0000	4800	1.1406
5	0.70	1600	twoing	0.9220	0.8290	824.8000	4800	6.0156
10	0.70	1600	twoing	0.9224	0.8311	811.4000	4800	11.6719
15	0.70	1600	twoing	0.9214	0.8329	805.4000	4800	18.0781
20	0.70	1600	twoing	0.9214	0.8288	824.8000	4800	24.9844
1	0.70	1600	deviance	0.9237	0.8301	822.0000	4800	1.0469
5	0.70	1600	deviance	0.9272	0.8384	775.6000	4800	6.0156
10	0.70	1600	deviance	0.9289	0.8360	787.6000	4800	11.8594
15	0.70	1600	deviance	0.9290	0.8372	781.4667	4800	18.3750
20	0.70	1600	deviance	0.9289	0.8385	775.6500	4800	24.1250
